item_id,source_item_uid,domain,concept,task_type,source_generator_model,judge_provider,paper_model_label,judge_model_requested,actual_api_model,judge_model_returned,fa,cc,lc,tf,mq,risk,parse_success,retry_count,http_status,usage_prompt_tokens,usage_completion_tokens,selected_after_merge,api_input_sha256,prompt_sha256,schema_sha256,score_row_sha256,call_date_utc_if_available,raw_response_sha256_if_available,raw_response_bytes_if_available,api_input_integrity_status
API810_001,千问_A_C01,Physics,惯性,A,Alibaba Qwen,anthropic,Claude Sonnet 4.6,claude-sonnet-4-6,claude-sonnet-4-6,claude-sonnet-4-6,4.0,2.0,4.0,3.0,3.0,3.0,True,0,200,1174.0,128.0,True,50b2d2914eea55634caea0d15648d7e0989fe0e3787433195d1b0aa6a9020681,8a952e055b9cf98356cefd708b735bf028e0cbdbbc99e406c16d10660ac1d457,80437f32e8488f841874dad46c7be988ebfdf6cada8d0999829231e0767680ef,071f315c184079af280d0b65d7151f04b70b50813ac6b1eb62a81c99596165eb,,,,input_nonempty_basic_pass
API810_001,千问_A_C01,Physics,惯性,A,Alibaba Qwen,deepseek,DeepSeek-V4 Expert Mode,deepseek-v4,deepseek-v4-pro,deepseek-v4-pro,5.0,3.0,5.0,5.0,4.0,1.0,True,0,200,760.0,95.0,True,50b2d2914eea55634caea0d15648d7e0989fe0e3787433195d1b0aa6a9020681,8a952e055b9cf98356cefd708b735bf028e0cbdbbc99e406c16d10660ac1d457,80437f32e8488f841874dad46c7be988ebfdf6cada8d0999829231e0767680ef,636f07254b45f8a130ee7eebf86eb78e879909e47bd87db0e19d11cba0eb3a3d,,,,input_nonempty_basic_pass
API810_001,千问_A_C01,Physics,惯性,A,Alibaba Qwen,doubao,Doubao 2.0 Pro,doubao-seed-2-0-pro-260215,doubao-seed-2-0-pro-260215,doubao-seed-2-0-pro-260215,4.0,2.0,5.0,4.0,3.0,2.0,True,0,200,891.0,132.0,True,50b2d2914eea55634caea0d15648d7e0989fe0e3787433195d1b0aa6a9020681,8a952e055b9cf98356cefd708b735bf028e0cbdbbc99e406c16d10660ac1d457,80437f32e8488f841874dad46c7be988ebfdf6cada8d0999829231e0767680ef,a038f6bbdafc651ffcf1fc975d6301c7efb3d65f3980ec59e2c53b46f6dfa362,,,,input_nonempty_basic_pass
API810_001,千问_A_C01,Physics,惯性,A,Alibaba Qwen,gemini,Gemini 3.1 Pro,gemini-3.1-pro,gemini-3.1-pro-preview,gemini-3.1-pro-preview,5.0,4.0,5.0,5.0,5.0,1.0,True,0,200,851.0,123.0,True,50b2d2914eea55634caea0d15648d7e0989fe0e3787433195d1b0aa6a9020681,8a952e055b9cf98356cefd708b735bf028e0cbdbbc99e406c16d10660ac1d457,80437f32e8488f841874dad46c7be988ebfdf6cada8d0999829231e0767680ef,dbedf911dcb6bd4e0501897d71986229f965bb5b23d23e4bd6eb0e11aeaaa1a1,,,,input_nonempty_basic_pass
API810_001,千问_A_C01,Physics,惯性,A,Alibaba Qwen,glm,GLM-5.1,glm-5.1,glm-5.1,glm-5.1,3.0,3.0,5.0,3.0,1.0,3.0,True,0,200,831.0,1175.0,True,50b2d2914eea55634caea0d15648d7e0989fe0e3787433195d1b0aa6a9020681,8a952e055b9cf98356cefd708b735bf028e0cbdbbc99e406c16d10660ac1d457,80437f32e8488f841874dad46c7be988ebfdf6cada8d0999829231e0767680ef,5845f77735c7dbc4202ebfd5c00866d8e1e0141b36fc1ea9d6b0afaf2f5bdfbc,,,,input_nonempty_basic_pass
API810_001,千问_A_C01,Physics,惯性,A,Alibaba Qwen,kimi,Kimi K2.6 Thinking,kimi-k2.6-thinking,kimi-k2.6,kimi-k2.6,5.0,3.0,5.0,5.0,5.0,1.0,True,0,200,758.0,3589.0,True,50b2d2914eea55634caea0d15648d7e0989fe0e3787433195d1b0aa6a9020681,8a952e055b9cf98356cefd708b735bf028e0cbdbbc99e406c16d10660ac1d457,80437f32e8488f841874dad46c7be988ebfdf6cada8d0999829231e0767680ef,15b6298bcf9cd0d43d221fc8487e5bab737eaee7ada0d209633bc1ea9c3cf67b,,,,input_nonempty_basic_pass
API810_001,千问_A_C01,Physics,惯性,A,Alibaba Qwen,mimo,Mimo v2.5 Pro,mimo-v2.5-pro,mimo-v2.5-pro,mimo-v2.5-pro,5.0,3.0,5.0,5.0,5.0,1.0,True,0,200,816.0,104.0,True,50b2d2914eea55634caea0d15648d7e0989fe0e3787433195d1b0aa6a9020681,8a952e055b9cf98356cefd708b735bf028e0cbdbbc99e406c16d10660ac1d457,80437f32e8488f841874dad46c7be988ebfdf6cada8d0999829231e0767680ef,5867f33da6f11a6b8db500391be92cf31447995a5dc0cf8662546afb65f7de48,,,,input_nonempty_basic_pass
API810_001,千问_A_C01,Physics,惯性,A,Alibaba Qwen,openai,GPT-5.5 Thinking,gpt-5.5,gpt-5.5,gpt-5.5-2026-04-23,5.0,4.0,5.0,5.0,5.0,1.0,True,0,200,1041.0,577.0,True,50b2d2914eea55634caea0d15648d7e0989fe0e3787433195d1b0aa6a9020681,8a952e055b9cf98356cefd708b735bf028e0cbdbbc99e406c16d10660ac1d457,80437f32e8488f841874dad46c7be988ebfdf6cada8d0999829231e0767680ef,a9fe41584b2d278acf476bde12aeb513dd3a6f189ed8c55594fb6bdf6fcfba2c,,,,input_nonempty_basic_pass
API810_001,千问_A_C01,Physics,惯性,A,Alibaba Qwen,qwen,Qwen3.5 Thinking,qwen3.5-plus,qwen3.5-plus,qwen3.5-plus,5.0,3.0,5.0,5.0,5.0,1.0,True,0,200,822.0,371.0,True,50b2d2914eea55634caea0d15648d7e0989fe0e3787433195d1b0aa6a9020681,8a952e055b9cf98356cefd708b735bf028e0cbdbbc99e406c16d10660ac1d457,80437f32e8488f841874dad46c7be988ebfdf6cada8d0999829231e0767680ef,5438c85f27ca21a6083eb01eb6d589e8f9c91e29faa410122c9144d18990add3,,,,input_nonempty_basic_pass
API810_002,千问_A_C02,Physics,净力与加速度,A,Alibaba Qwen,anthropic,Claude Sonnet 4.6,claude-sonnet-4-6,claude-sonnet-4-6,claude-sonnet-4-6,3.0,2.0,3.0,3.0,3.0,3.0,True,0,200,1176.0,128.0,True,1f8182546e11c1e686673a8e7b54693af5f44406c5994adff21eb41d599fb003,8a952e055b9cf98356cefd708b735bf028e0cbdbbc99e406c16d10660ac1d457,80437f32e8488f841874dad46c7be988ebfdf6cada8d0999829231e0767680ef,9c19363450a386d925645c839f7ca6327e0aaea0a11fde5395170f5de84007ef,,,,input_nonempty_basic_pass
